Nombre_empresa,Apellido,conteo
GRUPO EMPRESAS NAVIERAS S.A.,GARDEWEG,2
GRUPO EMPRESAS NAVIERAS S.A.,OSSA,2
GRUPO EMPRESAS NAVIERAS S.A.,SALAMANCA,2
GRUPO EMPRESAS NAVIERAS S.A.,URENDA,3
GRUPO SECURITY S.A.,MARIN,2
GRUPO SECURITY S.A.,PAVEZ,2
GRUPO SECURITY S.A.,SILVA,2
HIPODROMO DE ARICA S.A.,DIAZ,2
HIPODROMO DE ARICA S.A.,GONZALEZ,2
HIPODROMO DE ARICA S.A.,MUNOZ,3
HIPODROMO DE ARICA S.A.,SALAS,3
HORTIFRUT S.A.,OPAZO,2
HORTIFRUT S.A.,SWETT,2
INDIVER S.A.,CRUZ,2
INDIVER S.A.,MARIN,2
INDIVER S.A.,PEREZ,2
INFRAESTRUCTURA Y TRAFICO FERROVIARIO S.A.,CUEVAS,2
INFRAESTRUCTURA Y TRAFICO FERROVIARIO S.A.,PEREZ,3
INGEVEC S.A.,BESA,2
INGEVEC S.A.,BEZANILLA,2
INGEVEC S.A.,HUERTA,2
INMOBILIARIA CASA DE ITALIA S.A.,MOLTEDO,2
INMOBILIARIA CLUB DE CAMPO S.A.,CLARO,2
INMOBILIARIA CLUB DE CAMPO S.A.,LARRAIN,2
INMOBILIARIA CLUB DE CAMPO S.A.,VIAL,3
INMOBILIARIA CLUB DE GOLF LA SERENA S.A.,CASTRO,2
INMOBILIARIA CLUB DE GOLF LA SERENA S.A.,GONZALEZ,4
INMOBILIARIA CLUB DE GOLF LA SERENA S.A.,LIRA,2
INMOBILIARIA CLUB DE GOLF LA SERENA S.A.,PENA,2
INMOBILIARIA CLUB DE GOLF Y DEPORTES LAS BRISAS S.A.,GUZMAN,2
INMOBILIARIA DEPORTIVA UNION ESPAÑOLA S.A.,SANCHEZ,2
INMOBILIARIA EL REFUGIO S.A.,VALENZUELA,2
INMOBILIARIA SIXTERRA S.A.,NAVARRETE,6
INMOBILIARIA UNION ESPAÑOLA VALPARAISO S.A.,PALACIOS,2
INSTITUTO DE DIAGNOSTICO S.A.,PEREZ,2
INTERFACTOR S.A.,SILVA,2
INVERCAP S.A.,NAVARRETE,2
INVERNOVA S.A.,HURTADO,4
INVERNOVA S.A.,VICUNA,3
INVERSIONES AGRICOLAS Y COMERCIALES S.A.,BOFILL,2
INVERSIONES AGRICOLAS Y COMERCIALES S.A.,SCHMIDT,2
INVERSIONES AGUAS METROPOLITANAS S.A.,CRUZ,2
INVERSIONES AGUAS METROPOLITANAS S.A.,CUNEO,3
INVERSIONES AGUAS METROPOLITANAS S.A.,FERRER,2
INVERSIONES AGUAS METROPOLITANAS S.A.,PEREZ,2
INVERSIONES CMPC S.A.,CORREA,2
INVERSIONES CONFUTURO S.A.,GONZALEZ,2
INVERSIONES COVADONGA S.A.,BELTRAN,2
INVERSIONES COVADONGA S.A.,GARCIA,2
INVERSIONES ELECTRICAS DEL SUR S.A.,PURCELL,2
INVERSIONES HISPANIA S.A.,DOMINGUEZ,3
INVERSIONES HISPANIA S.A.,GARCIA,6
INVERSIONES LA CONSTRUCCION S.A.,BEZANILLA,2
INVERSIONES SIEMEL S.A.,GUZMAN,3
INVERSIONES TRICAHUE S.A.,DOMINGUEZ,2
INVERSIONES UNESPA S.A.,BELTRAN,2
INVERSIONES UNESPA S.A.,GARCIA,2
INVERSIONES UNION ESPAÑOLA S.A.,BELTRAN,2
INVERSIONES UNION ESPAÑOLA S.A.,GARCIA,2
INVEXANS S.A.,CRAIG,2
INVEXANS S.A.,LUKSIC,2
J.P. MORGAN CORREDORES DE BOLSA SPA,INOSTROZA,2
JAIME LARRAIN Y COMPAÑIA CORREDORES DE BOLSA LTDA,LARRAIN,2
LARRAIN VIAL S.A. CORREDORA DE BOLSA,UNDURRAGA,2
LARRAIN VIAL S.A. CORREDORES DE BOLSA DE PRODUCTOS,ECHEVERRIA,2
LARRAIN VIAL S.A. CORREDORES DE BOLSA DE PRODUCTOS,UNDURRAGA,2
LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,CRUZAT,3
LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,LARRAIN,3
LATAM AIRLINES GROUP S.A.,PLAZA,3
LATAM FACTORS S.A.,JORDAN,4
LATAM FACTORS S.A.,MARIN,5
LQ INVERSIONES FINANCIERAS S.A.,CRAIG,2
LQ INVERSIONES FINANCIERAS S.A.,EYZAGUIRRE,2
LQ INVERSIONES FINANCIERAS S.A.,FIGUEROA,2
LQ INVERSIONES FINANCIERAS S.A.,JARAMILLO,2
LQ INVERSIONES FINANCIERAS S.A.,LUKSIC,3
MARBELLA COUNTRY CLUB S.A.,CAREY,2
MARBELLA COUNTRY CLUB S.A.,TAGLE,2
MARITIMA DE INVERSIONES S.A.,CLARO,2
MARITIMA DE INVERSIONES S.A.,FIGUEROA,2
MBI ADMINISTRADORA GENERAL DE FONDOS S.A.,MUNOZ,2
METRO REGIONAL DE VALPARAISO S.A.,DOMINGUEZ,2
METROGAS S.A.,CORREA,2
MINERA VALPARAISO S.A.,LARRAIN,4
MONEDA CORREDORES DE BOLSA LIMITADA,REYES,2
"NEVASA S.A., CORREDORES DE BOLSA",MUNOZ,2
NITRATOS DE CHILE S.A.,LEROU,2
NITRATOS DE CHILE S.A.,PONCE,3
NORTE GRANDE S.A.,LEROU,2
NORTE GRANDE S.A.,PONCE,3
NUEVOSUR S.A,CASTRO,2
NUEVOSUR S.A,DOMINGUEZ,5
NUEVOSUR S.A,ERRAZURIZ,5
NUEVOSUR S.A,POBLETE,2
PARQUE ARAUCO S.A.,MUNOZ,2
PAZ CORP S.A.,SOTO,3
PENTA LAS AMERICAS ADMINISTRADORA GENERAL DE FONDOS S.A.,BRAVO,2
PENTA LAS AMERICAS ADMINISTRADORA GENERAL DE FONDOS S.A.,LAVIN,2
PENTA LAS AMERICAS ADMINISTRADORA GENERAL DE FONDOS S.A.,MENDEZ,3
PLAZA S.A.,SOLARI,2
PORTUARIA CABO FROWARD S.A.,SALAMANCA,2
PORTUARIA CABO FROWARD S.A.,URENDA,2
POTASIOS DE CHILE S.A.,LEROU,2
POTASIOS DE CHILE S.A.,PONCE,4
PRIMUS CAPITAL S.A.,VALENZUELA,2
PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.,SILVA,2
QUEMCHI S.A.,CONCHA,2
QUEMCHI S.A.,FIGUEROA,2
QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.,GANA,2
QUILICURA S.A.,BARROS,4
QUIÑENCO S.A.,CRAIG,2
QUIÑENCO S.A.,LUKSIC,5
REBRISA S.A.,SANCHEZ,2
REDMEGACENTRO S.A.,EGUIGUREN,2
REDMEGACENTRO S.A.,GUZMAN,2
REDMEGACENTRO S.A.,HONORATO,2
RIPLEY CORP S.A.,CALDERON,3
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,HERRERA,2
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,LOPEZ,4
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,RODRIGUEZ,2
RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.,HERRERA,2
RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.,LOPEZ,3
S. A. INMOBILIARIA SPORT FRANCAIS,CASTRO,2
S. A. INMOBILIARIA SPORT FRANCAIS,GONZALEZ,2
S. A. INMOBILIARIA SPORT FRANCAIS,MUNOZ,2
SALFACORP S.A.,NAVARRO,2
SALMONES AUSTRAL S.A.,HURTADO,2
SALMONES AUSTRAL S.A.,VICUNA,2
SALMONES CAMANCHACA S.A.,FERNANDEZ,2
SALMONES CAMANCHACA S.A.,GARCIA,2
SANTANA S.A.,CLARO,4
SANTANA S.A.,FERNANDEZ,2
SANTANA S.A.,VIAL,5
SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS,ACUNA,2
SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS,PEREZ,2
SANTANDER CONSUMER FINANCE LIMITADA,DOMINGUEZ,2
SANTANDER CORREDORES DE BOLSA LIMITADA,FERNANDEZ,2
SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.,LARRAIN,3
SCHWAGER S.A.,CASTRO,2
SCHWAGER S.A.,DURAN,2
SCHWAGER S.A.,ROJAS,3
SECURITIZADORA SECURITY S.A.,SILVA,2
SECURITIZADORA SUDAMERICANA S.A.,GARDEWEG,2
SECURITIZADORA SUDAMERICANA S.A.,MARIN,2
SECURITIZADORA SUDAMERICANA S.A.,RIED,2
SIGDO KOPPERS S.A.,GARCIA,2
SIGDO KOPPERS S.A.,PAVEZ,2
SIPSA SOCIEDAD ANONIMA,BARROS,2
SIPSA SOCIEDAD ANONIMA,MENENDEZ,7
SIPSA SOCIEDAD ANONIMA,TOCORNAL,2
SISTEMA DE TRANSMISION DEL SUR S.A.,PURCELL,2
SMB FACTORING S.A.,ALCAINO,2
SMB FACTORING S.A.,BITRAN,3
SMB FACTORING S.A.,FISCHER,2
SMB FACTORING S.A.,SANHUEZA,2
SMB FACTORING S.A.,VERA,2
SMU S.A.,SAIEH,2
SOCIEDAD AGRICOLA LA ROSA SOFRUCO S.A.,OSSA,2
"SOCIEDAD ANONIMA DE DEPORTES, CLUB DE GOLF SANTIAGO",DELANO,2
